# time mean_CV Std_CV
4.9250e-01 1.2535e+00 9.8484e-03
4.9375e-01 1.2527e+00 1.1311e-02
4.9500e-01 1.2514e+00 1.1170e-02
4.9625e-01 1.2532e+00 1.1341e-02
4.9750e-01 1.2549e+00 1.1166e-02
4.9875e-01 1.2528e+00 7.3465e-03
5.0000e-01 1.2484e+00 7.4371e-03
5.0125e-01 1.2514e+00 1.2351e-02
5.0250e-01 1.2521e+00 6.8307e-03
5.0375e-01 1.2509e+00 5.9285e-03
5.0500e-01 1.2505e+00 8.4611e-03
5.0625e-01 1.2508e+00 1.0477e-02
5.0750e-01 1.2498e+00 1.3347e-02
5.0875e-01 1.2497e+00 1.1192e-02
5.1000e-01 1.2516e+00 1.0547e-02
5.1125e-01 1.2481e+00 8.4777e-03
5.1250e-01 1.2460e+00 1.1493e-02
5.1375e-01 1.2470e+00 1.4929e-02
5.1500e-01 1.2487e+00 1.5770e-02
5.1625e-01 1.2469e+00 1.2018e-02
5.1750e-01 1.2430e+00 1.2744e-02
5.1875e-01 1.2429e+00 1.5209e-02
5.2000e-01 1.2396e+00 1.3054e-02
5.2125e-01 1.2377e+00 1.1884e-02
5.2250e-01 1.2380e+00 1.2087e-02
5.2375e-01 1.2353e+00 1.5017e-02
5.2500e-01 1.2348e+00 1.7337e-02
5.2625e-01 1.2347e+00 1.9985e-02
5.2750e-01 1.2367e+00 2.0275e-02
5.2875e-01 1.2344e+00 1.9499e-02
5.3000e-01 1.2311e+00 2.0328e-02
5.3125e-01 1.2340e+00 1.7162e-02
5.3250e-01 1.2351e+00 1.6574e-02
5.3375e-01 1.2359e+00 1.6834e-02
5.3500e-01 1.2355e+00 1.7960e-02
5.3625e-01 1.2376e+00 2.0318e-02
5.3750e-01 1.2378e+00 1.7378e-02
5.3875e-01 1.2330e+00 2.1041e-02
5.4000e-01 1.2353e+00 2.3586e-02
5.4125e-01 1.2360e+00 2.0829e-02
5.4250e-01 1.2355e+00 1.9934e-02
5.4375e-01 1.2337e+00 2.3776e-02
5.4500e-01 1.2330e+00 2.2609e-02
5.4625e-01 1.2368e+00 2.3934e-02
5.4750e-01 1.2361e+00 2.4450e-02
5.4875e-01 1.2333e+00 2.7606e-02
5.5000e-01 1.2357e+00 2.7767e-02
5.5125e-01 1.2398e+00 2.7784e-02
5.5250e-01 1.2401e+00 2.9702e-02
5.5375e-01 1.2405e+00 2.6039e-02
5.5500e-01 1.2426e+00 2.4922e-02
5.5625e-01 1.2399e+00 2.3647e-02
5.5750e-01 1.2433e+00 2.4869e-02
5.5875e-01 1.2446e+00 2.5810e-02
5.6000e-01 1.2443e+00 2.4200e-02
5.6125e-01 1.2470e+00 2.1417e-02
5.6250e-01 1.2436e+00 2.2537e-02
5.6375e-01 1.2459e+00 2.4242e-02
5.6500e-01 1.2460e+00 2.5287e-02
5.6625e-01 1.2436e+00 2.5797e-02
5.6750e-01 1.2439e+00 2.5642e-02
5.6875e-01 1.2458e+00 2.4736e-02
5.7000e-01 1.2453e+00 2.2078e-02
5.7125e-01 1.2463e+00 2.1823e-02
5.7250e-01 1.2447e+00 2.1422e-02
5.7375e-01 1.2463e+00 2.2420e-02
5.7500e-01 1.2452e+00 2.0787e-02
5.7625e-01 1.2458e+00 1.9958e-02
5.7750e-01 1.2472e+00 2.4517e-02
5.7875e-01 1.2459e+00 2.0273e-02
5.8000e-01 1.2467e+00 2.1730e-02
5.8125e-01 1.2486e+00 1.9225e-02
5.8250e-01 1.2465e+00 1.8281e-02
5.8375e-01 1.2516e+00 1.7940e-02
5.8500e-01 1.2502e+00 2.2989e-02
