# time mean_CV Std_CV
5.7750e-01 1.0094e+02 3.0169e+00
5.7875e-01 1.0076e+02 3.0435e+00
5.8000e-01 1.0056e+02 3.2990e+00
5.8125e-01 1.0112e+02 3.0144e+00
5.8250e-01 1.0082e+02 2.7881e+00
5.8375e-01 1.0074e+02 2.5501e+00
5.8500e-01 1.0073e+02 2.3334e+00
5.8625e-01 1.0081e+02 2.1028e+00
5.8750e-01 1.0096e+02 2.5651e+00
5.8875e-01 1.0139e+02 2.4879e+00
5.9000e-01 1.0132e+02 2.2932e+00
5.9125e-01 1.0068e+02 2.1760e+00
5.9250e-01 1.0063e+02 2.3819e+00
5.9375e-01 1.0060e+02 2.4997e+00
5.9500e-01 1.0053e+02 2.4479e+00
5.9625e-01 1.0075e+02 2.1608e+00
5.9750e-01 1.0059e+02 2.2828e+00
5.9875e-01 1.0079e+02 2.2661e+00
6.0000e-01 1.0076e+02 1.8292e+00
6.0125e-01 1.0073e+02 2.0091e+00
6.0250e-01 1.0049e+02 1.9491e+00
6.0375e-01 1.0093e+02 2.2592e+00
6.0500e-01 1.0122e+02 2.4193e+00
6.0625e-01 1.0097e+02 2.4041e+00
6.0750e-01 1.0080e+02 2.1404e+00
6.0875e-01 1.0104e+02 2.1638e+00
6.1000e-01 1.0105e+02 2.2146e+00
6.1125e-01 1.0092e+02 2.0003e+00
6.1250e-01 1.0111e+02 1.8291e+00
6.1375e-01 1.0096e+02 1.8024e+00
6.1500e-01 1.0081e+02 1.8887e+00
6.1625e-01 1.0095e+02 1.8742e+00
6.1750e-01 1.0063e+02 1.6146e+00
6.1875e-01 1.0083e+02 1.6954e+00
6.2000e-01 1.0084e+02 1.2721e+00
6.2125e-01 1.0063e+02 1.4558e+00
6.2250e-01 1.0087e+02 1.7245e+00
6.2375e-01 1.0087e+02 1.8472e+00
6.2500e-01 1.0107e+02 1.8921e+00
6.2625e-01 1.0098e+02 1.5286e+00
6.2750e-01 1.0107e+02 1.4654e+00
6.2875e-01 1.0121e+02 1.5288e+00
6.3000e-01 1.0117e+02 1.2785e+00
6.3125e-01 1.0131e+02 1.5967e+00
6.3250e-01 1.0075e+02 9.2438e-01
6.3375e-01 1.0110e+02 1.1906e+00
6.3500e-01 1.0099e+02 1.3726e+00
6.3625e-01 1.0121e+02 1.3601e+00
6.3750e-01 1.0113e+02 1.5288e+00
6.3875e-01 1.0114e+02 1.3018e+00
6.4000e-01 1.0128e+02 1.6142e+00
6.4125e-01 1.0138e+02 1.8678e+00
6.4250e-01 1.0133e+02 1.6286e+00
6.4375e-01 1.0116e+02 1.8842e+00
6.4500e-01 1.0097e+02 1.9354e+00
6.4625e-01 1.0093e+02 1.7855e+00
6.4750e-01 1.0103e+02 1.6914e+00
6.4875e-01 1.0125e+02 1.8355e+00
6.5000e-01 1.0113e+02 1.7723e+00
6.5125e-01 1.0137e+02 2.0363e+00
6.5250e-01 1.0120e+02 1.9302e+00
6.5375e-01 1.0100e+02 2.2423e+00
6.5500e-01 1.0107e+02 2.2366e+00
6.5625e-01 1.0116e+02 2.1894e+00
6.5750e-01 1.0110e+02 2.1365e+00
6.5875e-01 1.0115e+02 2.2625e+00
